date,startup,vertical,city,investors,round,amount_crore_rs,month,day,year
2017-10-06,Farm Taaza,Tech,Bengaluru,"Epsilon Venture Partners, Tara India Fund IV and others",Private Equity,66.0,10,6,2017
2017-10-06,Drivezy,Consumer Internet,Bengaluru,"Das Capital, Axan Partners, Das Capital and IT Farm",Private Equity,82.5,10,6,2017
2017-10-06,Slice Pay,Consumer Internet,Bengaluru,"Das Capital, Simile Ventures",Private Equity,16.5,10,6,2017
2017-10-09,Agrowave,Tech,Gurugram,Daffodil Software,Seed Funding,0.0,10,9,2017
2017-10-09,MyGubbi,E-commerce,Bengaluru,"Firoze Irani, Vipul Parekh, Ananda Kallugadde, Rajesh K Murthy",Private Equity,22.275,10,9,2017
2017-10-09,IBSFintech,Tech,Bengaluru,Shailesh Haribhakti,Seed Funding,0.0,10,9,2017
2017-10-09,Letsservice,Consumer Internet,Bengaluru,Aequs Group,Private Equity,0.0,10,9,2017
2017-10-09,OneStepUp,Tech,New Delhi,Orient BlackSwan,Seed Funding,2.772,10,9,2017
2017-10-09,ThirdWatch,Tech,Gurugram,"Rahul Agarwalla, Keshav Sanghi, Batlivala & Karani Securities",Seed Funding,0.0,10,9,2017
2017-10-10,Parallel Dots,Tech,Gurugram,"Multipoint Capital,",Private Equity,11.55,10,10,2017
2017-10-10,Easy Diner,Consumer Internet,Gurugram,Saama Capital and DSG Consumer Partners,Private Equity,37.125,10,10,2017
2017-10-11,Meesho,ECommerce,Bengaluru,"SAIF Partners, YCombinator, Venture Highway",Private Equity,25.575,10,11,2017
2017-10-11,StanPlus,Logistics,Hyderabad,KStart Capital,Private Equity,9.075,10,11,2017
2017-10-12,UCLID,Tech,Hyderabad,Undisclosed investors,Seed Funding,1.93875,10,12,2017
2017-10-13,PolicyBazaar,Consumer Internet,Gurugram,"Wellington Management, DG Ventures India, True North",Private Equity,635.25,10,13,2017
2017-10-13,Gapoon,Consumer Internet,Bengaluru,"Vida Ventures, Snehal Mantri, Anshu Bahadur",Seed Funding,2.0625,10,13,2017
2017-10-13,Chaayos,E-commerce,Gurugram,Tiger Global Management,Private Equity,16.5,10,13,2017
2017-10-16,KrazyBee,Consumer Internet,Bengaluru,"Xiaomi Technologies, Shunwei Capital",Private Equity,66.0,10,16,2017
2017-10-16,RenewBuy,Consumer Internet,New Delhi,Amicus Capital,Private Equity,75.9,10,16,2017
2017-10-17,Fingerlix,Consumer Internet,Bengaluru,"Accel Partners, Zephyr Peacock",Private Equity,57.75,10,17,2017
2017-10-18,BankBazaar,Consumer Internet,Chennai,Experian,Private Equity,57.75,10,18,2017
2017-10-18,Hasura,Tech,Chennai,"Nexus, GREE Ventures",Private Equity,0.0,10,18,2017
2017-10-18,BlackBuck,Logistics,Bengaluru,Innoven Capital,Private Equity,63.525,10,18,2017
2017-10-18,LenDen Club,Consumer Internet,Mumbai,Undisclosed Investor,Seed Funding,4.125,10,18,2017
2017-10-23,Toppr,Consumer Internet,Mumbai,"SAIF Partners, Helion Ventures, FIL Capital Management",Private Equity,57.75,10,23,2017
2017-10-23,Raw Pressery,Food & Beverage,Mumbai,"DSG Consumer Partners, Sequoia Capital, Saama Capital",Private Equity,49.5,10,23,2017
2017-10-23,Cashe,Consumer Internet,Mumbai,IFMR Capital,Debt Funding,25.575,10,23,2017
2017-10-23,Park Easy,Consumer Internet,Kolkata,Rockstart Accelerator,Seed Funding,0.9735,10,23,2017
2017-10-24,TagBox,Tech,Bengaluru,"Indian Angel network, IAN Fund",Seed Funding,0.0,10,24,2017
2017-10-24,FYRE,Food & Beverage,Mumbai,Venture Catalysts,Seed Funding,4.125,10,24,2017
2017-10-24,ZipLoan,Consumer Internet,New Delhi,"Matrix Partners India, WaterBridge Ventures, Whiteboard Capital, Sarbvir Singh",Private Equity,24.75,10,24,2017
2017-10-24,Skillenza,Consumer Internet,Bengaluru,"Blume Ventures, Indian Angel Network",Seed Funding,5.9565,10,24,2017
2017-10-24,Chevon,Food & Beverage,Mumbai,Greenfield Advisory,Private Equity,0.0,10,24,2017
2017-10-25,PropStory,Consumer Internet,Gurugram,"Abhishek Bhatewara, Vivek Shah, Haitong Securities, Suraj Saharan, Paras Arora",Seed Funding,0.0,10,25,2017
2017-10-25,SpotDraft,Consumer Internet,Gurugram,"Hunch Ventures, Spiral Ventures, 500 Startups, Singapore Angel Network, Citrus Payments",Seed Funding,4.5375,10,25,2017
2017-10-26,BigBasket,E-commerce,Bengaluru,Helion Ventures Partners,Private Equity,41.25,10,26,2017
2017-10-27,OfBusiness,Tech,Gurugram,Kotak Mahindra Bank,Debt Funding,31.35,10,27,2017
2017-10-27,Olly Credit,Tech,New Delhi,"Incubate Fund, Sandesh Kirkire, Anand Kumar, Yogesh Chaudhary",Seed Funding,0.0,10,27,2017
2017-10-28,CashFree,Tech,New Delhi,Y Combinator,Seed Funding,0.99,10,28,2017
2017-10-28,Ola,Consumer Internet,Bengaluru,ANI Technologies Pvt. Ltd,Private Equity,63.525,10,28,2017
2017-10-30,GoldFarm,Food & Beverage,Coimbatore,Mahindra & Mahindra and Infuse Ventures,Private Equity,16.5,10,30,2017
2017-10-31,Netmeds,ECommerce,Chennai,TannCam Investment & Sistema Asia Fund,Private Equity,115.5,10,31,2017
2017-10-31,MSE,Finance,Mumbai,"IL&FS, Trust Capital, Rosy Blue Securities, Radhakrishan Damani and Rakesh Jhunjhunwala",Private Equity,264.0,10,31,2017
2017-09-01,Aahaa,eCommece,Chennai,YourNest Angel Fund,Private Equity,8.25,9,1,2017
2017-09-01,MFine,Consumer Internet,Bengaluru,"Stellaris Venture Partners, Mayur Abhaya, Rohit MA",Private Equity,12.375,9,1,2017
2017-09-01,Canvera,Consumer Internet,Mumbai,InfoEdge,Private Equity,10.725,9,1,2017
2017-09-04,PrimaryIO,Tech,Pune,"Accel Partners, Exfinity Ventures, Partech Ventures",Private Equity,46.2,9,4,2017
2017-09-05,Shubh Loans,Consumer Internet,Bengaluru,"SRI Capital, BeeNext, Pravega Ventures",Private Equity,12.375,9,5,2017
2017-09-05,Nest Education,Tech,Gurugram,"Michael and Susan Dell Foundation, Anand Mahindra",Seed Funding,4.95,9,5,2017
2017-09-06,Lendingkart,Consumer Internet,Ahmedabad,"Bertelsmann India, Mayfield Capital, Saama Capital, Darrin Capital",Private Equity,88.6875,9,6,2017
2017-09-06,GoFro,Consumer Internet,New Delhi,"HIS Co. Ltd, MakeMyTrip",Private Equity,82.5,9,6,2017
2017-09-06,OncoStem,Healthcare,Bengaluru,"Sequoia Capital India, Artiman Ventures",Private Equity,49.5,9,6,2017
2017-09-06,Power2SME,E-commerce,Gurugram,"International Finance Corporation (IFC), Inventus Capital Partners, Accel Partners, Kalaari Capital, and Nandan Nilekani,",Private Equity,214.5,9,6,2017
2017-09-07,CreditVidya,Consumer Internet,Mumbai,Matrix Partners,Private Equity,41.25,9,7,2017
2017-09-07,Tails Life,Consumer Internet,Bengaluru,V Balakrishnan.,Private Equity,0.0,9,7,2017
2017-09-07,Oyo,Consumer Internet,Gurugram,"SoftBank Group, Sequoia Capital India, Lightspeed Venture Partners, Greenoaks Capital, Hero Enterprise",Private Equity,2062.5,9,7,2017
2017-09-07,EarlySalary,Consumer Internet,Pune,IFMR Capital,Debt Funding,6.435,9,7,2017
2017-09-07,Mamaearth,E-commerce,Gurugram,Fireside Ventures,Seed Funding,0.0,9,7,2017
2017-09-07,Seniority,E-commerce,Pune,RPG Enterprises,Private Equity,8.25,9,7,2017
2017-09-08,Aye Finance,Consumer Internet,New Delhi,"Triodos Investment Management,",Debt Funding,56.925,9,8,2017
2017-09-08,Farmizen,Tech,Bengaluru,"Venture Highway, Alok Mittal, Mohit Agarwal, Anuj Gupta,",Seed Funding,0.0,9,8,2017
2017-09-11,Ecom Express,Logistics,New Delhi,Warburg Pincus,Private Equity,247.5,9,11,2017
2017-09-11,Call Health,Consumer Internet,Hyderabad,"Sachin Tendulkar, P.V SIndhu, Pullela Gopichand",Private Equity,51.15,9,11,2017
2017-09-12,Sattviko,E-commerce,New Delhi,"Raman Roy, Arvind Uppal, Sonu Bhasin, G Ravishankar",Seed Funding,0.0,9,12,2017
2017-09-12,3HCare,Consumer Internet,New Delhi,Undisclosed Investor,Seed Funding,0.825,9,12,2017
2017-09-12,Tonbo Imaging,Tech,Bengaluru,"WRV Capital, Qualcomm Ventures, Edelweiss Private Equity, Artiman Ventures",Private Equity,140.25,9,12,2017
2017-09-12,Get My Parking,Consumer Internet,New Delhi,"IAN Fund, Beenext, Indian Angel Network",Private Equity,24.75,9,12,2017
2017-09-13,WittyFeed,Tech,Indore,"Anand Chandrasekaran, Apurva Chamaria, Ritesh Malik, Ashish Toshniwal, Ajeet Khurana",Seed Funding,0.0,9,13,2017
2017-09-13,GlowRoad,Consumer Internet,Bengaluru,"Accel Partners,",Private Equity,16.5,9,13,2017
2017-09-13,Oyo,Consumer Internet,Gurugram,China Lodging Group,Private Equity,82.5,9,13,2017
2017-09-13,Unacademy,Consumer Internet,Mumbai,"Sequoia Capital India, SAIF Partners, Nexus Venture Partners and Blume Ventures,",Private Equity,94.875,9,13,2017
2017-09-13,Heterogenous,Tech,Chennai,"Chennai Angels, Keiretsu Forum & Others",Seed Funding,6.435,9,13,2017
2017-09-14,Gurukul,Consumer Internet,New Delhi,"Rohit Nanda, Rajit Nanda, Smarak Bhuyan, Sashwat Brahma,",Seed Funding,0.0,9,14,2017
2017-09-14,Smaaash,Tech,Mumbai,ECL Finance,Private Equity,363.0,9,14,2017
2017-09-14,WheelStreet,Consumer Portal,Bengaluru,Y Combinator,Seed Funding,0.99,9,14,2017
2017-09-14,Xprep,Consumer Internet,New Delhi,"Rising Stars, Manish Amin, Pallav Pandey, Chavi Jafa",Private Equity,0.0,9,14,2017
2017-09-18,The Moms Co,E-commerce,Gurugram,"DSG Consumer Partners, Saama Capital",Private Equity,8.25,9,18,2017
2017-09-19,Noticeboard,Tech,Bengaluru,"Shamik Sharma, Aprameya Radhakrishna",Seed Funding,0.0,9,19,2017
